Level1,Level2,Difference,CI_low,CI_high,BF,Std_Difference
(Intact-Open-ULD),(Water-Open-TTI),-0.07442305391450385,-0.22046468348505113,0.06901038443480315,0.0032662648204399842,-0.22182945742710738
(Intact-Open-ULD),(Water-Open-ULD),-0.03418227700205463,-0.17054757182001,0.11076227493393104,7.055916090999172e-4,-0.10188557929508905
(Water-Hood-AIXR),(Water-Hood-TTI),-0.03135616067380645,-0.17652919834478376,0.1181903192945845,0.0015817780171610675,-0.09346190116382914
(Water-Hood-AIXR),(Water-Hood-ULD),-0.028309215765732625,-0.18432143871690473,0.12649957646033044,0.0018808793578261093,-0.08438000919330116
(Water-Hood-AIXR),(Water-Open-AIXR),-0.016748628891505503,-0.15817169818231586,0.14207705404479593,0.0015198493227739386,-0.04992188662291082
(Water-Hood-AIXR),(Water-Open-TTI),-0.038182945293082485,-0.19672996833425097,0.11388897620213095,0.0024009273894416545,-0.11381019175944787
(Water-Hood-AIXR),(Water-Open-ULD),3.898250660846784e-4,-0.16376668774968306,0.14907005688590577,8.257620209667939e-4,0.0011619340829575656
(Water-Hood-TTI),(Water-Hood-ULD),0.003624354500781468,-0.1503704145489026,0.15768963162376132,7.636081637429657e-4,0.010802950835039078
(Water-Hood-TTI),(Water-Open-AIXR),0.01722549497926977,-0.1309182311661251,0.15986832362122144,6.036036778412363e-4,0.05134325997364239
(Water-Hood-TTI),(Water-Open-TTI),-0.007803984958170633,-0.1548438807342054,0.1496128754340137,0.0018201812357051318,-0.02326098779860638
(Water-Hood-TTI),(Water-Open-ULD),0.03139527014799197,-0.12384066569235404,0.18896665563482393,6.726787768804579e-4,0.09357847301868476
(Water-Hood-ULD),(Water-Open-AIXR),0.013525475214358557,-0.14159618544292651,0.1651187145581586,0.0014729807395514583,0.04031477708092584
(Water-Hood-ULD),(Water-Open-TTI),-0.008244143712348455,-0.16350733309286888,0.15418417419345995,0.002332366698832188,-0.024572949247181515
(Water-Hood-ULD),(Water-Open-ULD),0.027791973836675303,-0.11759880941482698,0.19115950642632273,0.0011663899904248737,0.08283828938409865
(Water-Open-AIXR),(Water-Open-TTI),-0.023672113111418265,-0.17249468945363067,0.12810835647685925,0.001878478221659382,-0.07055840537921892
(Water-Open-AIXR),(Water-Open-ULD),0.01598423279373087,-0.1420749344641583,0.16286716981375382,6.018658916267662e-4,0.04764348547286477
(Water-Open-TTI),(Water-Open-ULD),0.039684283906285506,-0.11071125224514236,0.2072125956190347,0.0011012791082619959,0.11828516439848771
