Parameter,Mean,SD,CI,CI_low,CI_high,log_BF
(DRA-Open-TTI) - (DRA-Open-ULD),-5.551649625352578,6.67792515978916,0.95,-18.11438115003575,7.889375972659227,-1.4947705203343495
(DRA-Open-TTI) - (Hood-AIXR),-3.809334965254478,7.573659300968633,0.95,-19.136059005861203,9.916502143223084,-1.586550707729634
(DRA-Open-TTI) - (Hood-TTI),0.4199659873738325,7.446512944532392,0.95,-14.035635084686714,15.260505703285705,-1.7427393447779278
(DRA-Open-TTI) - (Hood-ULD),-3.2172253931283876,7.6529180620675215,0.95,-18.740122052882565,11.487418069059206,-1.675509993341643
(DRA-Open-TTI) - (Open-AIXR),-59.81094734860012,8.366033101916189,0.95,-76.1659559478544,-42.91468335776493,13.30713330527176
(DRA-Open-TTI) - (Open-TTI),-12.568176590871388,8.308634349885974,0.95,-28.574231313495893,3.3853548336456996,-0.4010463244819454
(DRA-Open-TTI) - (Open-ULD),-45.225629816747286,8.433245021807695,0.95,-61.64753855691397,-29.141297808547094,7.297415046316126
(DRA-Open-ULD) - (Hood-AIXR),1.7423146600980999,7.8172069284255645,0.95,-13.245368353194344,16.997997949287598,-1.4688933807602667
(DRA-Open-ULD) - (Hood-TTI),5.97161561272641,7.567827407130377,0.95,-8.605372990394269,20.914109180633154,-1.2209266217479757
(DRA-Open-ULD) - (Hood-ULD),2.3344242322241904,7.850923049076907,0.95,-12.582742200676055,17.913978148726315,-1.5447053556231896
(DRA-Open-ULD) - (Open-AIXR),-54.25929772324755,8.548967184119054,0.95,-72.07180143358381,-38.82664815396977,10.513644603950382
(DRA-Open-ULD) - (Open-TTI),-7.0165269655188105,8.425662023434008,0.95,-23.394976162038226,9.586146537496308,-1.2493282809647583
(DRA-Open-ULD) - (Open-ULD),-39.67398019139471,8.462709304328143,0.95,-56.13492020058659,-23.262169130033012,5.755209912027951
(Hood-AIXR) - (Hood-TTI),4.229300952628311,8.1069150865151,0.95,-11.09387927286349,20.12838062936644,-1.4758009681319706
(Hood-AIXR) - (Hood-ULD),0.5921095721260905,8.426499604469027,0.95,-16.421709877058532,16.688702018394775,-1.5749278754238443
(Hood-AIXR) - (Open-AIXR),-56.001612383345645,9.167553023140462,0.95,-73.38588473866147,-38.36678481003639,9.497498575484677
(Hood-AIXR) - (Open-TTI),-8.75884162561691,8.839488409294345,0.95,-25.93416811936678,8.442828054206558,-0.9417735573570233
(Hood-AIXR) - (Open-ULD),-41.41629485149281,8.808018439711814,0.95,-58.48142534274447,-23.901824534513935,5.813542622767982
(Hood-TTI) - (Hood-ULD),-3.63719138050222,8.240430228394438,0.95,-19.697654584374536,12.484129114902537,-1.518852581708873
(Hood-TTI) - (Open-AIXR),-60.23091333597396,8.74003217452444,0.95,-77.711591675077,-43.37789911062556,11.3126990773691
(Hood-TTI) - (Open-TTI),-12.98814257824522,8.711795917824546,0.95,-30.183872110891027,4.1441690834475935,-0.5378228941993256
(Hood-TTI) - (Open-ULD),-45.64559580412112,8.688916060971113,0.95,-62.480781784173494,-28.60051165400725,8.224439153828962
(Hood-ULD) - (Open-AIXR),-56.593721955471736,8.976836906667536,0.95,-75.73946199591435,-40.10164618771588,10.557323219452721
(Hood-ULD) - (Open-TTI),-9.350951197743,9.053162660804032,0.95,-26.979215006857835,8.483627552633713,-1.121301021718159
(Hood-ULD) - (Open-ULD),-42.0084044236189,8.85730626037499,0.95,-59.38171506375163,-24.732763953930395,5.7856239325204015
(Open-AIXR) - (Open-TTI),47.242770757728735,9.292330823940214,0.95,28.96950794250982,65.17225128608497,7.560804695645213
(Open-AIXR) - (Open-ULD),14.585317531852837,9.290181715826472,0.95,-2.797247943596986,33.2906857611645,-0.46020202493650686
(Open-TTI) - (Open-ULD),-32.6574532258759,9.256821895304968,0.95,-49.69358236409099,-13.405023665740053,3.5868438444524564
